PV;CV;SP
15.52;10;25
15.52;10;25
15.52;10;25
15.52;10;25
15.52;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.37;10;25
15.37;10;25
15.37;10;25
15.37;10;25
15.37;10;25
15.15;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.04;5;25
15.04;5;25
15.04;5;25
15.04;5;25
15.04;5;25
15.04;5;25
15.04;5;25
15.04;5;25
15.04;5;25
15.04;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.68;5;25
15.68;5;25
15.68;5;25
15.68;5;25
15.68;5;25
15.68;5;25
15.68;5;25
15.68;5;25
15.68;5;25
15.68;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.06;5;25
15.06;5;25
15.06;5;25
15.06;5;25
15.06;5;25
15.06;5;25
15.06;5;25
15.06;5;25
15.06;5;25
15.06;5;25
15.47;5;25
15.47;5;25
15.47;5;25
15.47;5;25
15.47;5;25
15.47;5;25
15.47;5;25
15.47;5;25
15.47;5;25
15.47;5;25
15.94;5;25
15.94;5;25
15.94;5;25
15.94;5;25
15.94;5;25
15.94;5;25
15.94;5;25
15.94;5;25
15.94;5;25
15.94;5;25
15.95;5;25
15.95;5;25
15.95;5;25
15.95;5;25
15.95;5;25
15.95;5;25
15.95;5;25
15.95;5;25
15.95;5;25
15.95;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.1;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.41;5;25
15.41;5;25
15.41;5;25
15.41;5;25
15.41;5;25
15.41;5;25
15.41;5;25
15.41;5;25
15.41;5;25
15.41;5;25
15.3;5;25
15.3;5;25
15.3;5;25
15.3;5;25
15.3;5;25
15.3;5;25
15.3;5;25
15.3;5;25
15.3;5;25
15.3;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.13;5;25
15.13;5;25
15.13;5;25
15.13;5;25
15.13;5;25
15.13;5;25
15.13;5;25
15.13;5;25
15.13;5;25
15.13;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.7;5;25
15.85;5;25
15.85;5;25
15.85;5;25
15.85;5;25
15.85;5;25
15.85;5;25
15.85;5;25
15.85;5;25
15.85;5;25
15.85;5;25
15.85;5;25
15.05;5;25
15.05;5;25
15.05;5;25
15.05;5;25
15.05;5;25
15.05;5;25
15.05;5;25
15.05;5;25
15.05;5;25
15.05;5;25
15.62;5;25
15.62;5;25
15.62;5;25
15.62;5;25
15.62;5;25
15.62;5;25
15.62;5;25
15.62;5;25
15.62;5;25
15.62;5;25
15.93;5;25
15.93;5;25
15.93;5;25
15.93;5;25
15.93;5;25
15.93;5;25
15.93;5;25
15.93;5;25
15.93;5;25
15.93;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.25;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.86;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.61;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.43;5;25
15.49;5;25
15.49;5;25
15.49;5;25
15.49;5;25
15.49;5;25
15.49;5;25
15.49;5;25
15.49;5;25
15.49;5;25
15.49;5;25
15.02;5;25
15.02;5;25
15.02;5;25
15.02;5;25
15.02;5;25
15.02;5;25
15.02;5;25
15.02;5;25
15.02;5;25
15.02;5;25
15.12;5;25
15.12;5;25
15.12;5;25
15.12;5;25
15.12;5;25
15.12;5;25
15.12;5;25
15.12;5;25
15.12;5;25
15.12;5;25
15.36;5;25
15.36;5;25
15.36;5;25
15.36;5;25
15.36;5;25
15.36;5;25
15.36;5;25
15.36;5;25
15.36;5;25
15.36;5;25
15.71;5;25
15.71;5;25
15.71;5;25
15.71;5;25
15.71;5;25
15.71;5;25
15.71;5;25
15.71;5;25
15.71;5;25
15.71;5;25
15.33;5;25
15.33;5;25
15.33;5;25
15.33;5;25
15.33;5;25
15.33;5;25
15.33;5;25
15.33;5;25
15.33;5;25
15.33;5;25
15.74;5;25
15.74;5;25
15.74;5;25
15.74;5;25
15.74;5;25
15.74;5;25
15.74;5;25
15.74;5;25
15.74;5;25
15.74;5;25
15.64;5;25
15.64;5;25
15.64;5;25
15.64;5;25
15.64;5;25
15.64;5;25
15.64;5;25
15.64;5;25
15.64;5;25
15.64;5;25
15.9;5;25
15.9;5;25
15.9;5;25
15.9;5;25
15.9;5;25
15.9;5;25
15.9;5;25
15.9;5;25
15.9;5;25
15.9;5;25
15.08;5;25
15.08;5;25
15.08;5;25
15.08;5;25
15.08;5;25
15.08;5;25
15.08;5;25
15.08;5;25
15.08;5;25
15.08;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.14;5;25
15.76;5;25
15.76;5;25
15.76;5;25
15.76;5;25
15.76;5;25
15.76;5;25
15.76;5;25
15.76;5;25
15.76;5;25
15.76;5;25
15.67;5;25
15.67;5;25
15.67;5;25
15.67;5;25
15.67;5;25
15.67;5;25
15.67;5;25
15.67;5;25
15.67;5;25
15.67;5;25
15.97;5;25
15.97;5;25
15.97;5;25
15.97;5;25
15.97;5;25
15.97;5;25
15.97;5;25
15.97;5;25
15.97;5;25
15.97;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.78;5;25
15.91;5;25
15.91;5;25
15.91;5;25
15.91;5;25
15.91;5;25
15.91;5;25
15.91;5;25
15.91;5;25
15.91;5;25
15.91;5;25
15.77;5;25
15.77;5;25
15.77;5;25
15.77;5;25
15.77;5;25
15.77;5;25
15.77;5;25
15.77;5;25
15.77;5;25
15.77;5;25
15.81;5;25
15.81;5;25
15.81;5;25
15.81;5;25
15.81;5;25
15.81;5;25
15.81;5;25
15.81;5;25
15.81;5;25
15.81;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.96;5;25
15.48;5;25
15.48;5;25
15.48;5;25
15.48;5;25
15.48;5;25
15.48;5;25
15.48;5;25
15.48;5;25
15.48;5;25
15.48;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.54;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.18;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.44;5;25
15.16;5;25
15.16;5;25
15.16;5;25
15.16;5;25
15.16;5;25
15.16;5;25
15.16;5;25
15.16;5;25
15.16;5;25
15.16;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.34;5;25
15.57;5;25
15.57;5;25
15.57;5;25
15.57;5;25
15.57;5;25
15.57;5;25
15.57;5;25
15.57;5;25
15.57;5;25
15.57;5;25
15.84;5;25
15.84;5;25
15.84;5;25
15.84;5;25
15.84;5;25
15.84;5;25
15.84;5;25
15.84;5;25
15.84;5;25
15.84;5;25
15.31;5;25
15.31;5;25
15.31;5;25
15.31;5;25
15.31;5;25
15.31;5;25
15.31;5;25
15.31;5;25
15.31;5;25
15.31;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.03;5;25
15.75;5;25
15.75;5;25
15.75;5;25
15.75;5;25
15.75;5;25
15.75;5;25
15.75;5;25
15.75;5;25
15.75;5;25
15.75;5;25
15.6;5;25
15.6;5;25
15.6;5;25
