PV;CV;SP
82.19;20;25
82.19;20;25
82.2;20;25
82.2;20;25
82.2;20;25
82.2;20;25
82.2;20;25
82.2;20;25
82.21;20;25
82.21;20;25
82.21;20;25
82.21;20;25
82.21;20;25
82.22;20;25
82.22;20;25
82.22;20;25
82.22;20;25
82.22;20;25
82.23;20;25
82.23;20;25
82.23;20;25
82.23;20;25
82.23;20;25
82.24;20;25
82.24;20;25
82.24;20;25
82.24;20;25
82.24;20;25
82.25;20;25
82.25;20;25
82.25;20;25
82.25;20;25
82.25;20;25
82.26;20;25
82.26;20;25
82.26;20;25
82.26;20;25
82.26;20;25
82.27;20;25
82.27;20;25
82.27;20;25
82.27;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.31;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.33;10;25
82.33;10;25
82.33;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.32;10;25
82.33;10;25
82.33;10;25
82.33;10;25
82.33;10;25
82.33;10;25
82.34;10;25
82.34;10;25
82.34;10;25
82.34;10;25
82.34;10;25
82.34;10;25
82.34;10;25
82.34;10;25
82.34;10;25
82.34;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.35;10;25
82.36;10;25
82.36;10;25
82.36;10;25
82.36;10;25
82.36;10;25
82.37;10;25
82.37;10;25
82.37;10;25
82.37;10;25
82.37;10;25
82.37;10;25
82.37;10;25
82.37;10;25
82.38;10;25
82.38;10;25
82.38;10;25
82.38;10;25
82.38;10;25
82.38;10;25
82.38;10;25
82.39;10;25
82.39;10;25
82.39;10;25
82.39;10;25
82.39;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.4;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.41;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.42;10;25
82.43;10;25
82.43;10;25
82.43;10;25
82.43;10;25
82.43;10;25
82.43;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.44;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.45;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
82.46;10;25
